model	simID	S	log10S	tree.length	PD	Gamma	Beta	Colless	Sackin	Yule.PDA.ratio	MRD	VRD	PSV	mean.Iprime	MPD	VPD	MGL_principal_eigenvalue	MGL_asymmetry	MGL_peakedness	MGL_eigengap	nLTT_stat
XE	21443	102	2.008600172	9830113	46.18636073	-2.898102358	-1.877412126	3930	4162	306.9696237	40.80392157	656.0799845	0.718758796	0.97491826	0.995005358	0.31359004	3543202727	0.669141112	1.033852378	65	0.059225795
XE	21451	45	1.653212514	8741056	14.82425602	0.840452041	-1.99992847	946	1034	125.3172711	22.97777778	171.5222222	0.471829258	0.967966509	0.636543587	0.254120931	1434245308	1.992844755	1.62383526	6	0.099368849
XE	21452	65	1.812913357	9958994	16.07339215	2.891493633	-1.99992847	2016	2144	205.1681995	32.98461538	356.5153846	0.371068722	0.975334716	0.510542945	0.214335157	2418629584	2.473837062	1.851995727	2	0.181513804
XE	21453	52	1.716003344	9395130	15.22970007	2.432500268	-1.981995953	1233	1337	148.6960205	25.71153846	219.4249623	0.452216565	0.969720826	0.631491437	0.293654512	1800980848	1.91043795	1.669963242	7	0.135917913
XE	21461	45	1.653212514	8741056	14.82425602	0.840452041	-1.99992847	946	1034	125.3172711	22.97777778	171.5222222	0.471829258	0.967966509	0.636543587	0.254120931	1434245308	1.992844755	1.62383526	6	0.099368849
XE	21462	65	1.812913357	9958994	16.07339215	2.891493633	-1.99992847	2016	2144	205.1681995	32.98461538	356.5153846	0.371068722	0.975334716	0.510542945	0.214335157	2418629584	2.473837062	1.851995727	2	0.181513804
XE	21463	52	1.716003344	9395130	15.22970007	2.432500268	-1.981995953	1233	1337	148.6960205	25.71153846	219.4249623	0.452216565	0.969720826	0.631491437	0.293654512	1800980848	1.91043795	1.669963242	7	0.135917913
XE	21511	258	2.411619706	9930772	163.1629634	-12.24436356	-1.640893288	15094	15830	664.8191884	61.35658915	1717.086357	0.932901181	0.947648819	1.237215775	0.314308005	8586902217	-0.517932278	2.189297297	298	0.207480688
XE	21512	297	2.472756449	9994610	179.2244439	-11.98618695	-1.641007199	19025	19891	772.7487383	66.97306397	2159.931704	0.929573886	0.942927933	1.259157959	0.300888084	10018478448	-0.539253487	2.174968439	382	0.177826871
XE	21513	257	2.409933123	9990940	170.9484981	-14.01154721	-1.744647787	18420	19102	767.9542784	74.32684825	2410.16619	0.92133423	0.970220007	1.181105009	0.321818461	8534122549	-0.365146769	1.878877218	285	0.239040888
XE	21521	261	2.416640507	9930772	164.186124	-12.19155424	-1.642352806	15233	15979	671.4413316	61.22222222	1741.65812	0.933140277	0.946502708	1.241019047	0.313086304	8695898553	-0.526461268	2.206819401	303	0.204153199
XE	21522	297	2.472756449	9994610	179.2244439	-11.98618695	-1.641007199	19025	19891	772.7487383	66.97306397	2159.931704	0.929573886	0.942927933	1.259157959	0.300888084	10018478448	-0.539253487	2.174968439	382	0.177826871
XE	21523	268	2.428134794	9990940	172.8584222	-13.22313882	-1.72576605	19319	20037	788.7008575	74.76492537	2472.922061	0.919886814	0.96982196	1.198344844	0.317621318	8953892149	-0.402878042	1.930555816	337	0.218925241
XE	21531	254	2.404833717	9887732	160.6088309	-12.39185848	-1.675118343	15632	16346	682.371287	64.35433071	1813.731661	0.924971941	0.949793116	1.221483432	0.310709502	8414231081	-0.475604801	2.097487177	294	0.207181629
XE	21532	297	2.472756449	9958994	178.1206173	-11.73140992	-1.672297161	19846	20704	799.7949668	69.71043771	2242.314519	0.92535538	0.938508166	1.254442152	0.302330197	10031757487	-0.534609088	2.149418727	383	0.173914727
XE	21533	247	2.392696953	9990940	162.6639561	-13.44905709	-1.68913114	15733	16415	684.3657104	66.45748988	1915.363023	0.928591159	0.958633605	1.202445866	0.321471775	8223970153	-0.423207002	2.006291552	306	0.232381973
XE	21541	128	2.10720997	9781478	65.14779822	-5.819365682	-1.724838	3952	4300	309.2289832	33.59375	554.7785433	0.85040135	0.941213521	1.200390955	0.280083415	4315295985	-0.374480863	1.620244361	179	0.096071219
XE	21542	148	2.170261715	9958994	74.07290305	-4.494647792	-1.628557826	4608	5034	332.1494588	34.01351351	566.3399522	0.892569743	0.91766429	1.292411162	0.289083091	5134290159	-0.566566848	1.945298633	225	0.085660798
XE	21543	129	2.11058971	9960465	71.17566951	-6.35711721	-1.747416962	4195	4541	320.2927805	35.20155039	595.1465601	0.88248673	0.945071179	1.221460385	0.301291454	4394028183	-0.434782156	1.756709967	169	0.132770436
XE	21551	45	1.653212514	8741056	14.82425602	0.840452041	-1.99992847	946	1034	125.3172711	22.97777778	171.5222222	0.471829258	0.967966509	0.636543587	0.254120931	1434245308	1.992844755	1.62383526	6	0.099368849
XE	21552	65	1.812913357	9958994	16.07339215	2.891493633	-1.99992847	2016	2144	205.1681995	32.98461538	356.5153846	0.371068722	0.975334716	0.510542945	0.214335157	2418629584	2.473837062	1.851995727	2	0.181513804
XE	21553	52	1.716003344	9395130	15.22970007	2.432500268	-1.981995953	1233	1337	148.6960205	25.71153846	219.4249623	0.452216565	0.969720826	0.631491437	0.293654512	1800980848	1.91043795	1.669963242	7	0.135917913
XE	21561	45	1.653212514	8741056	14.82425602	0.840452041	-1.99992847	946	1034	125.3172711	22.97777778	171.5222222	0.471829258	0.967966509	0.636543587	0.254120931	1434245308	1.992844755	1.62383526	6	0.099368849
XE	21562	65	1.812913357	9958994	16.07339215	2.891493633	-1.99992847	2016	2144	205.1681995	32.98461538	356.5153846	0.371068722	0.975334716	0.510542945	0.214335157	2418629584	2.473837062	1.851995727	2	0.181513804
XE	21563	52	1.716003344	9395130	15.22970007	2.432500268	-1.981995953	1233	1337	148.6960205	25.71153846	219.4249623	0.452216565	0.969720826	0.631491437	0.293654512	1800980848	1.91043795	1.669963242	7	0.135917913
XE	22111	45	1.653212514	8741056	14.82425602	0.840452041	-1.99992847	946	1034	125.3172711	22.97777778	171.5222222	0.471829258	0.967966509	0.636543587	0.254120931	1434245308	1.992844755	1.62383526	6	0.099368849
XE	22112	65	1.812913357	9958994	16.07339215	2.891493633	-1.99992847	2016	2144	205.1681995	32.98461538	356.5153846	0.371068722	0.975334716	0.510542945	0.214335157	2418629584	2.473837062	1.851995727	2	0.181513804
