model	simID	S	log10S	tree.length	PD	Gamma	Beta	Colless	Sackin	Yule.PDA.ratio	MRD	VRD	PSV	mean.Iprime	MPD	VPD	MGL_principal_eigenvalue	MGL_asymmetry	MGL_peakedness	MGL_eigengap	nLTT_stat
Amphibian	5301	25	1.397940009	21.94757182	10.64342315	0.030518279	-0.55868096	77	159	25.64333344	6.36	4.573333333	0.83644403	0.523065066	1.297019145	0.343415576	1937.773441	-0.100208213	1.748130114	40	0.042478
Amphibian	5302	24	1.380211242	21.59781507	9.783395439	0.170577546	0.368411529	54	134	22.46527961	5.583333333	3.471014493	0.835536897	0.475371573	1.316616548	0.355346818	1815.059839	-0.058359568	1.784844455	39	0.048164295
Amphibian	5303	20	1.301029996	21.33748524	6.794483876	0.816226753	0.611684546	38	102	18.23117311	5.1	2.515789474	0.776651012	0.507093254	1.280337629	0.402755378	1504.502767	0.173967611	1.752998404	4	0.099199053
Amphibian	531	24	1.380211242	19.58949248	9.660190103	-1.31706031	-0.645598301	53	137	25.35565137	5.708333333	3.780797101	0.794259857	0.553914141	1.237776724	0.323223947	1625.226285	-0.038761727	2.089274292	1	0.083763286
Amphibian	532	20	1.301029996	18.48915086	8.274307894	-1.370770574	-0.944312727	37	105	21.12154487	5.25	2.723684211	0.765211984	0.595	1.176990419	0.346043054	1240.445629	0.064444819	2.070457252	1	0.087046855
Amphibian	5350	62	1.792391689	32.98971139	19.62676003	-1.081328689	-0.252559916	224	502	68.4352831	8.096774194	5.859333686	0.779307338	0.418644034	1.263447043	0.244608537	7358.837182	0.036619926	3.857729245	8	0.115686506
Amphibian	5351	55	1.740362689	30.61595905	17.24077124	-0.851267734	-0.289278954	174	420	60.74089029	7.636363636	3.976430976	0.780619968	0.436676162	1.272048995	0.266582493	6174.46114	-0.401879341	3.77388877	1	0.118441041
Amphibian	5352	54	1.73239376	29.62621799	16.74992893	-1.033048819	0.528779168	121	365	56.75190625	6.759259259	3.205101328	0.798143557	0.414143209	1.311259939	0.283206294	5645.782574	-0.570287416	3.842230708	4	0.122407726
Amphibian	5353	33	1.51851394	26.57387719	12.22106624	-1.124976962	0.386809725	79	201	33.03638294	6.090909091	3.897727273	0.773551702	0.426500722	1.214851932	0.275394462	3063.258823	0.132554434	1.869644498	15	0.082086801
Amphibian	5354	25	1.397940009	22.08078274	10.09739311	-1.157153573	-0.096916613	57	143	24.85214816	5.72	3.376666667	0.764315266	0.464375902	1.173033148	0.265273296	1909.304205	0.133710434	2.140604901	4	0.063535043
Amphibian	5355	21	1.322219295	17.67814464	9.636564863	-1.131866908	-0.104937603	40	110	20.57548205	5.238095238	2.29047619	0.846426969	0.48452381	1.29178242	0.33997984	1280.480043	-0.312557328	2.140321908	7	0.064838802
Amphibian	5385	29	1.462397998	19.25288537	12.18720629	-0.811968082	3.711586578	44	156	27.11819413	5.379310345	1.815270936	0.87628209	0.334677609	1.376758311	0.298387236	1924.529884	-0.711098196	2.285691852	51	0.042108152
Amphibian	5419	80	1.903089987	29.70508668	30.25517866	-2.012814608	0.253310371	254	618	88.54952743	7.725	4.961392405	0.883502053	0.499803827	1.405469574	0.241033536	8458.505604	-0.800847834	2.684700865	145	0.064517871
Amphibian	5420	56	1.748188027	28.35038069	22.86334148	-2.577848793	0.315402651	173	407	58.55444571	7.267857143	4.890584416	0.850364408	0.439242815	1.31495418	0.242185648	5543.689379	-0.408609329	2.12151784	80	0.075822502
Amphibian	5421	47	1.672097858	28.03656454	18.28383116	-2.112683672	0.461440056	124	318	48.19100486	6.765957447	3.965772433	0.807738383	0.409170535	1.253071858	0.238976431	4634.875344	-0.311441734	2.345939258	2	0.083230611
Amphibian	5422	37	1.568201724	25.35142663	14.96587929	-1.655581509	0.90124756	79	229	35.80903123	6.189189189	3.602102102	0.792001916	0.358480941	1.212447162	0.228063931	3248.419696	-0.287349817	2.137911216	6	0.074064692
Amphibian	5423	31	1.491361694	20.57676456	14.23582171	-1.152440599	1.302351526	52	176	29.51746209	5.677419355	2.759139785	0.882107182	0.355116213	1.344709164	0.283546717	2185.337513	-0.611887934	1.977413256	50	0.052214443
Amphibian	5475	24	1.380211242	28.77434751	8.627921956	0.621658641	-0.619322579	49	131	25.62563387	5.458333333	2.954710145	0.740701175	0.632867133	1.174216412	0.354065626	2447.763873	0.523569836	1.719451739	5	0.073038697
Amphibian	5498	72	1.857332496	58.02119092	21.92983066	-0.882064571	-0.062327466	237	573	79.27848892	7.958333333	4.970070423	0.804942109	0.469319635	1.324294359	0.338572396	15112.5957	0.129650969	2.952433679	17	0.124695777
Amphibian	5499	65	1.812913357	57.90554359	18.37425492	-1.249698349	-0.18083197	196	498	72.16643415	7.661538462	4.258653846	0.74118669	0.482690636	1.220287474	0.366532704	13358.36806	0.16128085	2.544753559	1	0.147069064
Amphibian	5500	35	1.544068044	48.7817366	11.24740233	-0.741132297	-0.493867387	119	249	37.6709252	7.114285714	5.104201681	0.532158531	0.518033911	0.77397973	0.187500496	6204.926983	2.327664664	2.53703453	4	0.116143536
Amphibian	5501	36	1.556302501	43.55266295	11.05932867	-1.253726549	-0.106465837	99	239	37.62532388	6.638888889	3.894444444	0.523555387	0.488765861	0.770401402	0.144906249	5738.431352	2.358993998	2.614536744	2	0.130398269
Amphibian	5502	34	1.531478917	25.14676522	15.01086493	-2.60215297	1.071396148	67	201	34.06997582	5.911764706	2.749554367	0.805367877	0.458318231	1.203868031	0.232932324	2920.427846	-0.357561979	2.448864244	6	0.093572375
Amphibian	5503	28	1.447158031	20.39654762	14.24010754	-2.130911186	1.853102216	43	151	27.57773599	5.392857143	1.951058201	0.897332165	0.479097985	1.328004341	0.291226893	1915.671301	-0.686710549	2.141978308	40	0.084842138
