"","spp.name","region"
"1300",125878,4
"1301",125884,7
"1302",125889,10
"1303",125890,4
"1304",125895,3
"1305",125901,2
"1306",125915,8
"1307",125923,5
"1308",125936,4
"1309",125938,5
"1310",125946,7
"1311",125947,1
"1312",125951,2
"1313",125962,2
"1314",125978,2
"1315",125983,4
"1316",125988,6
"1317",126006,3
"1318",126007,3
"1319",126008,4
"1320",126009,5
"1321",126016,7
"1322",126019,8
"1323",126027,3
"1324",126035,5
"1325",126037,8
"1326",126038,8
"1327",126040,6
"1328",126049,5
"1329",126051,10
"1330",126053,6
"1331",126056,6
"1332",126066,6
"1333",126073,10
"1334",126076,10
"1335",126080,4
"1336",126082,6
"1337",126085,9
"1338",126094,7
"1339",126096,10
"1340",126098,1
"1341",126099,10
"1342",126104,8
"1343",126110,8
"1344",126111,8
"1345",126112,8
"1346",126115,7
"1347",126123,6
"1348",126129,8
"1349",126131,2
"1350",126136,9
"1351",126138,3
"1352",126140,7
"1353",126145,4
"1354",126149,1
"1355",126150,5
"1356",126153,4
"1357",126155,5
"1358",126164,8
"1359",126177,10
"1360",126178,10
"1361",126181,1
"1362",126186,8
"1363",126195,10
"1364",126198,5
"1365",126202,9
"1366",126203,9
"1367",126216,7
"1368",126222,1
"1369",126223,2
"1370",126227,5
"1371",126232,8
"1372",126236,4
"1373",126240,4
"1374",126241,8
"1375",126242,4
"1376",126246,4
"1377",126252,6
"1378",126258,4
"1379",126260,9
"1380",126265,8
"1381",126268,4
"1382",126271,4
"1383",126279,8
"1384",126285,8
"1385",126295,9
"1386",126299,7
"1387",126300,4
"1388",126301,6
"1389",126303,3
"1390",126304,2
"1391",126308,5
"1392",126313,3
"1393",126318,5
"1394",126319,8
"1395",126322,4
"1396",126325,10
"1397",126328,4
"1398",126335,6
"1399",126337,10
"1400",126338,9
"1401",126339,10
